date,return,entry_price,exit_price,ticker,rationale,original_return
2024-05-30,0.052625715369987905,72057.74144345238,76023.34375,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-05-30

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩71,123
- 종가: ₩71,091
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 27.5
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩72,058
- 청산가: ₩76,023
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.50%
",0.05503367476011778
2024-08-05,0.01369135472084684,72767.74712284483,73933.5859375,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-08-05

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩71,266
- 종가: ₩69,367
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 18.5
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩72,768
- 청산가: ₩73,934
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: +1.60%
",0.016021367443010585
2024-08-02,0.06661156154869596,165984.7869955157,177445.625,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-08-02

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩177,974
- 종가: ₩171,122
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 19.3
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩165,985
- 청산가: ₩177,446
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: +6.90%
",0.06904752063087527
2024-11-28,0.14740221954585334,158343.33958724202,182094.828125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-11-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩160,126
- 종가: ₩159,432
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 20.3
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩158,343
- 청산가: ₩182,095
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +15.00%
",0.14999992168708606
2024-04-08,0.03613766591973779,376500.0,391000.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-04-08

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩374,278
- 종가: ₩373,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 27.6
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩376,500
- 청산가: ₩391,000
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.85%
",0.03851261620185923
2024-05-29,0.044392149955308026,342000.0,358000.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-05-29

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩349,361
- 종가: ₩342,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 16.4
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩342,000
- 청산가: ₩358,000
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.68%
",0.04678362573099415
2024-11-15,0.1161315684315686,375000.0,419500.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-11-15

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩378,477
- 종가: ₩371,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 38.0
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩375,000
- 청산가: ₩419,500
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +11.87%
",0.11866666666666667
2024-05-29,0.03756705264005009,1116251.125,1160839.625,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-05-29

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,140,065
- 종가: ₩1,117,789
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 18.6
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,116,251
- 청산가: ₩1,160,840
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: +3.99%
",0.03994486455724737
2024-11-15,0.04896553212287895,1406845.375,1479109.625,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-11-15

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,444,710
- 종가: ₩1,440,671
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 21.9
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,406,845
- 청산가: ₩1,479,110
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: +5.14%
",0.05136616381882053
2024-07-26,0.020197919544066793,227042.40288649706,232160.15625,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2024-07-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩229,336
- 종가: ₩226,577
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 24.2
- 과매도 기준: 40
- RSI ≤ 40: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩227,042
- 청산가: ₩232,160
- 청산 사유: RSI 과매수 (60 이상)
- 수익률: +2.25%
",0.022540958422032752
